"","files","authors","commits","days","conflicts","complex","bic"
"11642",572,4,41,4,1,"TRUE","FALSE"
"11643",167,6,65,12,1,"TRUE","TRUE"
"11660",315,9,182,24,1,"TRUE","FALSE"
"11673",730,6,164,1,3,"TRUE","TRUE"
"11680",18,2,2,0,27,"FALSE","FALSE"
"11683",56,7,47,2,1,"TRUE","FALSE"
"11692",2,2,2,0,3,"FALSE","FALSE"
"11695",2,2,2,0,3,"FALSE","FALSE"
"11697",2,2,2,1,3,"FALSE","FALSE"
"11702",2,2,2,0,3,"FALSE","FALSE"
"11705",99,12,116,8,1,"TRUE","FALSE"
"11708",2,2,2,0,3,"FALSE","FALSE"
"11717",134,5,101,4,1,"TRUE","FALSE"
"11721",51,4,99,2,1,"TRUE","FALSE"
"11725",645,9,124,33,1,"TRUE","FALSE"
"11737",370,14,437,39,7,"TRUE","TRUE"
"11742",2,2,2,0,3,"FALSE","FALSE"
"11750",95,4,78,1,1,"TRUE","FALSE"
"11754",14,2,2,1,21,"FALSE","FALSE"
"11758",44,5,25,11,2,"TRUE","TRUE"
"11765",2,2,2,0,3,"FALSE","FALSE"
"11777",2,2,2,0,3,"FALSE","FALSE"
"11779",45,2,2,0,63,"TRUE","FALSE"
"11789",338,23,178,88,1,"TRUE","FALSE"
"11790",46,2,2,0,69,"TRUE","FALSE"
"11794",172,8,129,29,2,"TRUE","FALSE"
"11795",2,2,2,0,3,"FALSE","FALSE"
"11802",609,4,79,1,2,"TRUE","FALSE"
"11805",125,12,78,15,1,"TRUE","FALSE"
"11814",62,13,72,32,1,"TRUE","FALSE"
"11818",866,37,1041,417,1,"TRUE","FALSE"
"11824",31,6,54,8,1,"FALSE","FALSE"
"11828",44,9,33,17,1,"TRUE","FALSE"
"11834",529,26,421,83,11,"TRUE","FALSE"
"11844",39,7,28,15,2,"TRUE","FALSE"
"11856",622,4,65,3,4,"TRUE","FALSE"
"11863",2,2,2,0,3,"FALSE","FALSE"
"11876",696,4,132,2,1,"TRUE","FALSE"
"11896",109,11,154,9,2,"TRUE","TRUE"
"11899",71,4,41,19,2,"TRUE","FALSE"
"11901",3753,154,2007,816,3,"TRUE","FALSE"
"11904",26,6,17,4,1,"FALSE","FALSE"
"11905",49,9,26,11,2,"TRUE","FALSE"
"11929",615,27,629,80,1,"TRUE","TRUE"
